这里开不了了已经？,2
医生孩子9个月，37.5体温是发烧吗,2
那要滴什么眼药水？托百士滴眼液？,2
那还需要用其他什么药吗？,2
那现在还有什么新冠药吗,2
才14天这么少吗,2
还需要去复查吗？,2
下一次复查建议什么时候？,2
家里的降血压的药还吃吗？,2
这次开中药里面有还会有降血压的药？,2
可以用我的吗,2
贵医院有皮下埋植避孕针吗？,2
是复星吗,2
那淋巴结呢,2
那要开点药吃吗,2
需要注意什么，吃那方面有那些要注意的吗,2
请问，我这次是打第三针四价，可以约到什么时候打呢,2
如果例假是正常来的话就不考虑是怀孕是吗,2
这是什么原因呢,2
是体质差吗,2
可以先吃这个退热吗,2
冯伟清医生上班吗？,2
请问禅医有点痣吗,2
如何能买到？,2
如何能买到？,2
如何能买到？,2
先诺欣也没有吗,2
你好 请问有民得维吗,2
有先诺欣或者民得维卖吗,2
有先诺欣或者民得维卖吗,2
我能看看吗,2
它是自己结算，不用我自己支付？,2
嗯，我想问问，我想开一张验血脂血糖的检验单可以吗？,2
我要发二维码给您吗,2
医生是下午2点半上班吗,2
查不到的吗？,2
当归益血口服液不是补血的吗,2
吃点什么药呢？？,2
红花丸就是逍遥丸吗,2
什么牌子的红花丸？？,2
或者有没有其他医生介绍？,2
医院地址是在石湾医院那里吗？,2
能否把下午的那个价格给我呢,2
就是这个1mg的这个 能吃吗,2
你就告诉我 80岁了 有心脏病能吃吗,2
这个尿常规有什么异常吗,2
乏力，严重脚扭伤会造成红细胞异常吗,2
这个时间段能照吗,2
是这个吗,2
高端预防保健科？,2
能开方子不抓药嘛？,2
能辩证开中药方吗,2
国医馆这里支付诊金就可以开方嘛？,2
医生您好，孕早期牙疼的厉害，智齿发炎，可以挂牙科做治疗吗,2
还有其他要改的药吗,2
饮食指导呢？,2
护理怎么护理呢,2
可以帮忙解决吗？,2
3种都没货是吗,2
这个泌尿科在哪个楼？,2
是旧医是吗？,2
另外目前是否有货？,2
你好，我下午带母亲过去维护输液港，请问什么时间去方便？,2
好的，是要怎么调整用药？需要用激素吗,2
4岁女童乳房增大挂什么科？,2
我知道挂儿科，但要挂那个专科？,2
是你那方没有收到货吗？,2
有更明细的诊断结果么？,2
可以，但这个我在哪里能自己查到？,2
你好，怀疑小朋友生虫可否挂城南儿保科？,2
那你们宣传费不是说阔以让我过来做那个生物科技的么？,2
医生，请问睡眠不太好，面色黄是什么问题呢？,2
宝宝36周?，绕颈三周，需要住院观察吗,2
如果足月到37周，可以剖腹产？,2
4个月婴儿咳嗽有痰，雾化药水可以外发吗,2
4个月可以常喝温水吗？,2
复必泰新冠疫苗要到香港打吗,2
多久可以有货？,2
假如一次是化疗三天，是每天都要用利妥昔单抗吗？,2
他这个药是化疗，每天都要用吗,2
你好在吗,2
会帮我打印病历吗,2
确认怀孕了吗？,2
孕酮低吗,2
请问有环孢素软胶囊吗,2
昨天开了药回来孩子晚上发高烧，只能吃退烧药吗,2
有其他方面考虑吗？,2
请问哪个科比较好？需要挂专家号吗？,2
这种不是真菌感染吧？,2
线上有药吗,2
晚十天可以吗？,2
要打止血针和吃妈富隆吗？,2
社区医院开的可以吗？,2
您这开不了？,2
可以喝吗,2
我可以等一个星期之后复诊吗,2
她这个是肺炎吗,2
需要打吊针吗,2
是要多喝水吗,2
现在是确定不了是肺炎吗,2
